Hs_bin_m,4.0-4.5,4.5-5.0,5.0-5.5,5.5-6.0,6.0-6.5,6.5-7.0,7.0-7.5,7.5-8.0,8.0-8.5,8.5-9.0,9.0-9.5,9.5-10.0,10.0-10.5,10.5-11.0,11.0-11.5,11.5-12.0,12.0-12.5,12.5-13.0
0.00-0.25,16.0,42.0,56.0,70.0,41.0,24.0,19.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25-0.50,214.0,909.0,1915.0,2903.0,3505.0,3643.0,3066.0,2248.0,1473.0,895.0,485.0,275.0,126.0,61.0,30.0,11.0,3.0,2.0
0.50-0.75,15.0,223.0,991.0,2768.0,5092.0,7383.0,9984.0,10845.0,8467.0,5994.0,3502.0,1974.0,1045.0,506.0,268.0,125.0,58.0,30.0
0.75-1.00,1.0,44.0,406.0,1688.0,5759.0,16801.0,33912.0,49467.0,43806.0,28148.0,14282.0,6911.0,3610.0,1871.0,961.0,439.0,196.0,101.0
1.00-1.25,0.0,12.0,116.0,2418.0,11773.0,34569.0,77603.0,126089.0,146428.0,120032.0,78170.0,39587.0,16190.0,7128.0,3045.0,1244.0,626.0,250.0
1.25-1.50,0.0,2.0,50.0,1272.0,8258.0,30911.0,74883.0,113238.0,138230.0,146444.0,127000.0,85564.0,48386.0,23806.0,10316.0,4016.0,1603.0,757.0
1.50-1.75,0.0,0.0,22.0,191.0,2573.0,12407.0,33254.0,54970.0,74845.0,87865.0,91748.0,83098.0,58007.0,36132.0,17685.0,8590.0,3900.0,1666.0
1.75-2.00,0.0,0.0,9.0,6.0,288.0,2228.0,7303.0,15080.0,25371.0,35598.0,43063.0,43999.0,40000.0,28126.0,18478.0,11183.0,5833.0,2391.0
2.00-2.25,0.0,0.0,4.0,3.0,0.0,76.0,787.0,3111.0,5535.0,8776.0,11347.0,14569.0,16369.0,16294.0,13085.0,8679.0,5092.0,2808.0
2.25-2.50,0.0,0.0,0.0,0.0,0.0,8.0,71.0,430.0,854.0,1548.0,3058.0,5199.0,6035.0,7570.0,6719.0,4624.0,3447.0,2438.0
2.50-2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,48.0,201.0,489.0,1026.0,1621.0,2358.0,2270.0,2337.0,1777.0,1249.0
2.75-3.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,28.0,91.0,291.0,427.0,340.0,660.0,773.0,636.0
